Tue Jul 13 17:28:26 2021    output2.dat

         9700 function calls (9465 primitive calls) in 0.705 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      854    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      491    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      438    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
      409    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      409    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
  379/357    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      354    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      353    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      228    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      217    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      170    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      140    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      140    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      128    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      128    0.005    0.000    0.005    0.000 {built-in method nt.stat}
      121    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:164(__getitem__)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
       98    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       88    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       84    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
       80    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:351(get_spawning_popen)
       80    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
