Tue Jul 13 17:28:26 2021    output2.dat

         9700 function calls (9465 primitive calls) in 0.705 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.621    0.022    0.621    0.022 {method '__exit__' of '_io._IOBase' objects}
       19    0.039    0.002    0.039    0.002 {built-in method _winapi.WaitForSingleObject}
       10    0.017    0.002    0.017    0.002 {built-in method _winapi.CreateProcess}
        4    0.005    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
      128    0.005    0.000    0.005    0.000 {built-in method nt.stat}
       18    0.004    0.000    0.004    0.000 {built-in method io.open_code}
       18    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       20    0.001    0.000    0.002    0.000 {method 'dump' of '_pickle.Pickler' objects}
       80    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       18    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       84    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
       30    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       10    0.000    0.000    0.641    0.064 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:44(__init__)
     21/1    0.000    0.000    0.705    0.705 {built-in method builtins.exec}
      409    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      409    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
       10    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
     29/3    0.000    0.000    0.023    0.008 <frozen importlib._bootstrap>:1002(_find_and_load)
       26    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
       18    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:856(get_code)
       10    0.000    0.000    0.000    0.000 {built-in method io.open}
      353    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       29    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\spawn.py:150(get_preparation_data)
       10    0.000    0.000    0.645    0.064 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:324(_Popen)
       20    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:344(__reduce__)
      491    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       10    0.000    0.000    0.645    0.064 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:110(start)
       20    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\reduction.py:38(__init__)
       20    0.000    0.000    0.002    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\reduction.py:58(dump)
     14/1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:493(_parse)
        4    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFDC2ED3C60}
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
       10    0.000    0.000    0.000    0.000 {function Random.getstate at 0x000001A643E7A160}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      438    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     25/3    0.000    0.000    0.023    0.008 <frozen importlib._bootstrap>:659(_load_unlocked)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       60    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\collections\__init__.py:345(namedtuple)
      854    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
     29/3    0.000    0.000    0.023    0.008 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
       27    0.000    0.000    0.039    0.001 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:101(wait)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\subprocess.py:282(_args_from_interpreter_flags)
       18    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:976(get_data)
        1    0.000    0.000    0.005    0.005 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ctypes\__init__.py:1(<module>)
       11    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\util.py:186(__init__)
      228    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      354    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
      128    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     22/1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:71(_compile)
        1    0.000    0.000    0.705    0.705 d:\PythonThings\PureMPPython.py:31(main)
        1    0.000    0.000    0.007    0.007 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\shutil.py:1(<module>)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      170    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ntpath.py:450(normpath)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\spawn.py:78(get_command_line)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ntpath.py:61(isabs)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\synchronize.py:100(__getstate__)
     18/3    0.000    0.000    0.022    0.007 <frozen importlib._bootstrap_external>:784(exec_module)
       25    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
  379/357    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:61(_cleanup)
       20    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ntpath.py:124(splitdrive)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
       10    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\heap.py:38(__init__)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
       22    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
     35/3    0.000    0.000    0.021    0.007 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
       10    0.000    0.000    0.645    0.064 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:222(_Popen)
    27/10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:174(getwidth)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\process.py:80(__init__)
       32    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:354(set_spawning_popen)
      121    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:164(__getitem__)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       11    0.000    0.000    0.001    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\util.py:205(__call__)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       10    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
       26    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
       80    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\context.py:351(get_spawning_popen)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
       68    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        1    0.000    0.000    0.001    0.001 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\subprocess.py:10(<module>)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\random.py:168(getstate)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\sharedctypes.py:128(reduce_ctype)
        1    0.000    0.000    0.002    0.002 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\util.py:10(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\bz2.py:1(<module>)
     14/1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:435(_parse_sub)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\lzma.py:1(<module>)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.008    0.008 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\tempfile.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\pkgutil.py:1(<module>)
       30    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\spawn.py:87(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\ctypes\_endian.py:1(<module>)
       77    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:233(__next)
      217    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
        1    0.000    0.000    0.012    0.012 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\heap.py:10(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
       17    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\popen_spawn_win32.py:117(poll)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
       10    0.000    0.000    0.000    0.000 C:\Users\Jordan\AppData\Local\Programs\Python\Python39\lib\multiprocessing\reduction.py:71(duplicate)
       88    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
